wave_id,province,variant,wave_start,day,date,reported_cases
W008,Hainan,Alpha,2020-01-22,24,2020-02-15,3.0
W008,Hainan,Alpha,2020-01-22,25,2020-02-16,0.0
W008,Hainan,Alpha,2020-01-22,26,2020-02-17,1.0
W008,Hainan,Alpha,2020-01-22,27,2020-02-18,0.0
W008,Hainan,Alpha,2020-01-22,28,2020-02-19,5.0
W009,Hebei,Alpha,2020-01-22,0,2020-01-22,1.0
W009,Hebei,Alpha,2020-01-22,1,2020-01-23,0.0
W009,Hebei,Alpha,2020-01-22,2,2020-01-24,1.0
W009,Hebei,Alpha,2020-01-22,3,2020-01-25,6.0
W009,Hebei,Alpha,2020-01-22,4,2020-01-26,5.0
W009,Hebei,Alpha,2020-01-22,5,2020-01-27,5.0
W009,Hebei,Alpha,2020-01-22,6,2020-01-28,15.0
W009,Hebei,Alpha,2020-01-22,7,2020-01-29,15.0
W009,Hebei,Alpha,2020-01-22,8,2020-01-30,17.0
W009,Hebei,Alpha,2020-01-22,9,2020-01-31,17.0
W009,Hebei,Alpha,2020-01-22,10,2020-02-01,14.0
W009,Hebei,Alpha,2020-01-22,11,2020-02-02,8.0
W009,Hebei,Alpha,2020-01-22,12,2020-02-03,9.0
W009,Hebei,Alpha,2020-01-22,13,2020-02-04,13.0
W009,Hebei,Alpha,2020-01-22,14,2020-02-05,9.0
W009,Hebei,Alpha,2020-01-22,15,2020-02-06,22.0
W009,Hebei,Alpha,2020-01-22,16,2020-02-07,15.0
W009,Hebei,Alpha,2020-01-22,17,2020-02-08,23.0
W009,Hebei,Alpha,2020-01-22,18,2020-02-09,11.0
W009,Hebei,Alpha,2020-01-22,19,2020-02-10,12.0
W009,Hebei,Alpha,2020-01-22,20,2020-02-11,21.0
W009,Hebei,Alpha,2020-01-22,21,2020-02-12,12.0
W009,Hebei,Alpha,2020-01-22,22,2020-02-13,14.0
W009,Hebei,Alpha,2020-01-22,23,2020-02-14,18.0
W009,Hebei,Alpha,2020-01-22,24,2020-02-15,8.0
W009,Hebei,Alpha,2020-01-22,25,2020-02-16,9.0
W009,Hebei,Alpha,2020-01-22,26,2020-02-17,1.0
W009,Hebei,Alpha,2020-01-22,27,2020-02-18,5.0
W009,Hebei,Alpha,2020-01-22,28,2020-02-19,0.0
W009,Hebei,Alpha,2020-01-22,29,2020-02-20,1.0
W009,Hebei,Alpha,2020-01-22,30,2020-02-21,1.0
W009,Hebei,Alpha,2020-01-22,31,2020-02-22,1.0
W009,Hebei,Alpha,2020-01-22,32,2020-02-23,2.0
W009,Hebei,Alpha,2020-01-22,33,2020-02-24,0.0
W009,Hebei,Alpha,2020-01-22,34,2020-02-25,0.0
W009,Hebei,Alpha,2020-01-22,35,2020-02-26,1.0
W009,Hebei,Alpha,2020-01-22,36,2020-02-27,5.0
W009,Hebei,Alpha,2020-01-22,37,2020-02-28,1.0
W010,Henan,Alpha,2020-01-22,0,2020-01-22,5.0
W010,Henan,Alpha,2020-01-22,1,2020-01-23,0.0
W010,Henan,Alpha,2020-01-22,2,2020-01-24,4.0
W010,Henan,Alpha,2020-01-22,3,2020-01-25,23.0
W010,Henan,Alpha,2020-01-22,4,2020-01-26,51.0
W010,Henan,Alpha,2020-01-22,5,2020-01-27,45.0
W010,Henan,Alpha,2020-01-22,6,2020-01-28,40.0
W010,Henan,Alpha,2020-01-22,7,2020-01-29,38.0
W010,Henan,Alpha,2020-01-22,8,2020-01-30,72.0
W010,Henan,Alpha,2020-01-22,9,2020-01-31,74.0
W010,Henan,Alpha,2020-01-22,10,2020-02-01,70.0
W010,Henan,Alpha,2020-01-22,11,2020-02-02,71.0
W010,Henan,Alpha,2020-01-22,12,2020-02-03,73.0
W010,Henan,Alpha,2020-01-22,13,2020-02-04,109.0
W010,Henan,Alpha,2020-01-22,14,2020-02-05,89.0
W010,Henan,Alpha,2020-01-22,15,2020-02-06,87.0
W010,Henan,Alpha,2020-01-22,16,2020-02-07,63.0
W010,Henan,Alpha,2020-01-22,17,2020-02-08,67.0
W010,Henan,Alpha,2020-01-22,18,2020-02-09,52.0
W010,Henan,Alpha,2020-01-22,19,2020-02-10,40.0
W010,Henan,Alpha,2020-01-22,20,2020-02-11,32.0
W010,Henan,Alpha,2020-01-22,21,2020-02-12,30.0
W010,Henan,Alpha,2020-01-22,22,2020-02-13,34.0
W010,Henan,Alpha,2020-01-22,23,2020-02-14,15.0
W010,Henan,Alpha,2020-01-22,24,2020-02-15,28.0
W010,Henan,Alpha,2020-01-22,25,2020-02-16,19.0
W010,Henan,Alpha,2020-01-22,26,2020-02-17,15.0
W010,Henan,Alpha,2020-01-22,27,2020-02-18,11.0
W010,Henan,Alpha,2020-01-22,28,2020-02-19,5.0
W010,Henan,Alpha,2020-01-22,29,2020-02-20,3.0
W010,Henan,Alpha,2020-01-22,30,2020-02-21,2.0
W010,Henan,Alpha,2020-01-22,31,2020-02-22,3.0
W010,Henan,Alpha,2020-01-22,32,2020-02-23,1.0
W011,Hubei,Alpha,2020-01-22,0,2020-01-22,444.0
W011,Hubei,Alpha,2020-01-22,1,2020-01-23,0.0
W011,Hubei,Alpha,2020-01-22,2,2020-01-24,105.0
W011,Hubei,Alpha,2020-01-22,3,2020-01-25,212.0
W011,Hubei,Alpha,2020-01-22,4,2020-01-26,297.0
W011,Hubei,Alpha,2020-01-22,5,2020-01-27,365.0
W011,Hubei,Alpha,2020-01-22,6,2020-01-28,2131.0
W011,Hubei,Alpha,2020-01-22,7,2020-01-29,0.0
