wave_id,province,variant,start,end,duration_days,peak_cases,total_cases,reservoir_sse_log1p,classic_sse_log1p,reservoir_aic,classic_aic,delta_aic_classic_minus_reservoir,Q_accessible_scale,beta0_per_day,control_decay_q_per_day,activation_a_per_day,initial_active_fraction_s0,initial_reserve_fraction_u0,R0_combined,initial_active_count,recruited_to_active_count,direct_infections_from_reserve,max_active_count,Rt_below_one_day,recruitment_share_of_accessible_susceptible
W028,Xinjiang,Alpha,2020-01-23,2020-02-21,30,6.0,78.0,5.68738913993202,7.771021248738596,-39.88838268365421,-34.52387373225929,5.364508951394917,95.46616522162003,1.2533708411439288,0.0002954762423727003,0.8148449829107307,0.0021669260928369304,0.8302344282209475,0.35183598913617786,0.20686812440180993,68.55431408455803,7.617146009395337,20.91844564475961,0.25,0.9969914984188296
W029,Inner Mongolia,Alpha,2020-01-24,2020-02-19,27,7.0,75.0,7.327171829181747,7.327172022133554,-25.214676009088087,-29.214675298077225,-3.9999992889891374,150.18005042035838,0.5266703135587769,0.03975442358917797,0.2024528572775851,0.9965555961958912,0.0,2.6242812416362193,149.66276968338926,4.3914626732724285e-05,4.879402970302696e-06,142.17990024030794,14.5,2.934237682473519e-07
W030,Qinghai,Alpha,2020-01-25,2020-02-06,13,5.0,18.0,3.5705285206962323,3.8432977971706115,-6.799064458990063,-9.842041254965467,-3.042976795975404,183.4711101678394,4.014723717003419,0.0005093486054925164,0.5683477429952063,0.0019838074867440025,0.9544125974149236,0.31104131764848264,0.3639713619521935,28.59351024457412,3.1770566938415703,15.085423557314128,0.25,0.9874308350468711
W031,Beijing,Alpha,2020-06-11,2020-07-10,30,42.0,385.0,5.890066973337923,5.890065121432318,-38.837900401332504,-42.83790983368313,-4.000009432350623,545.770185498048,3.3402821980611135,0.2211205493017681,0.03126662824792926,0.99623160573312,0.0,16.638473488880894,543.7135082599831,4.771436234278114e-05,5.301595815864571e-06,537.7696397278625,9.5,8.775643317773879e-08
W032,Xinjiang,Alpha,2020-07-16,2020-08-15,31,112.0,826.0,4.100509937746433,5.5280057167738095,-52.70915176691017,-47.44896260002112,5.260189166889049,834.2600077423465,1.516074652408163,0.04102684221404481,2.711410692092646,0.0019279780788161393,0.9405360025093263,1.2897044802293904,1.6084350069602267,706.1798196075654,78.46442440084061,378.6916803853809,16.25,0.99772751949828
W033,Liaoning,Alpha,2020-07-22,2020-08-05,15,36.0,196.0,3.3191566635637733,4.247029087415863,-12.625092011606881,-12.927457512932087,-0.30236550132520534,1319.0556340410342,2.3181710802733533,0.5097330454231521,1841.7262134431874,0.9936276491401275,0.00030740576313590057,11.800073030048656,1310.6501487372332,61332.18138910942,6814.686821012157,1310.6501487372332,4.75,0.9790774121066613
W034,Xinjiang,Alpha,2020-10-24,2020-11-07,15,137.0,430.0,26.065238610972873,27.44136129924855,18.288285573023806,15.06001815833792,-3.2282674146858863,1573.8852949034992,1.986682591072079,0.3165864063834064,151.61480586103679,0.7179717947516694,0.27694524270594884,28.12640993106966,1130.005249915126,392.29204048953613,43.58800449883734,1474.2030230823518,7.0,0.2576973912795957
W035,Liaoning,Alpha,2020-12-15,2021-01-11,28,10.0,124.0,7.900575665774466,11.522076048801113,-25.427528759606922,-18.86231044007906,6.565218319527862,150.82377594407512,1.3703153604050249,0.00032867527276701314,0.8794166050692771,0.002107170383695494,0.7857246896814876,0.35992710927824495,0.31781139382648,104.22183393032252,11.580203770035823,31.041355194827965,0.25,0.9969598959912482
W036,Hebei,Alpha,2021-01-02,2021-02-03,33,90.0,943.0,5.308237983114337,5.581015293526885,-50.299171169677024,-52.64551602952684,-2.3463448598498147,142155.56804785327,1.5196811135304658,0.3279600219595336,199.77408520914165,0.9480331127356767,0.051910610889715825,12.388737483699876,134768.18566911464,6626.510518820435,736.2789465356036,141246.17757215904,12.75,0.046865340054995756
W037,Heilongjiang,Alpha,2021-01-11,2021-02-05,26,68.0,638.0,7.888664137627881,8.878072686381131,-21.009412936285887,-21.93731315429337,-0.9279002180074833,1173.7819854859997,1.2122940426331006,0.1195997857036168,57.45573875323586,0.2729388520327561,0.7202455722479697,22.34553144023924,320.37070765527795,760.8701500476499,84.54112778307221,1015.3034856003843,11.5,0.7037008864642776
W038,Jilin,Alpha,2021-01-16,2021-02-06,22,67.0,416.0,11.354887037970984,11.57960160401262,-4.550672973528513,-8.119542483284825,-3.5688695097563112,6574.549725553702,0.4655864188654312,0.15896263924591186,79.95467065116065,0.8693141844929893,0.11851768181884968,6.761725498217657,5715.349333078323,701.2803528098136,77.92003920109038,6306.431684800992,5.25,0.10929107446421678
W039,Yunnan,Alpha,2021-03-30,2021-04-20,22,29.0,118.0,7.357626588583314,7.589559848512617,-14.096711034018497,-17.41391480132372,-3.317203767305223,95319738.94672775,1.0003002984101586,0.7341624777438484,1.5988885022080812,0.8988667494385505,0.10113249520898215,4.576533180366384,85679743.90437637,100.15273177736313,11.128081308595906,85679783.62315808,2.25,1.1689182313474844e-06
W040,Guangdong,Delta,2021-05-21,2021-06-21,32,16.0,165.0,7.967357698132991,8.371231153629708,-34.49225587010165,-36.909918012194005,-2.417662142092354,193.6260627336067,1.8430540476353263,0.0964668795420339,4.8889096291863305,0.0031660032756610523,0.9555172448002629,2.364894305238968,0.6130207488679512,166.5117357505992,18.501303972288813,110.1925841842285,13.75,0.9963319572593291
W041,Yunnan,Delta,2021-07-04,2021-07-27,24,15.0,90.0,13.442038736685303,13.531586048528844,-3.9120035609434627,-7.752652091000698,-3.8406485300572353,391.7246055092939,0.14295234715808847,0.04246492052246915,7.691778008986649,0.15592625344947522,0.7828062140482026,3.122035930827878,61.08015012103786,275.772742421801,30.641415824644554,316.98038607013797,4.75,0.8186741112395562
W042,Jiangsu,Delta,2021-07-21,2021-08-26,37,61.0,835.0,12.549444040852098,18.297482281035585,-30.00593726051114,-20.053714373727008,9.952222886784131,1660.6993101338844,4.718717770586592,0.17663576897677544,1.517362393216825,0.002200425078452277,0.9351753542902911,0.7614158814343399,3.654244409786995,1365.5446262287364,151.72718069208187,780.0124874700894,13.75,0.9973311076358979
W043,Hunan,Delta,2021-07-29,2021-08-15,18,15.0,110.0,1.2807039321456224,1.411366039746209,-37.57331391454335,-39.82464659994026,-2.2513326853969104,322.25820814569175,7.999837810043774,0.39581812132027255,3.2959677312198488,0.00629416793754194,0.9440562045415155,1.8075510065609262,2.02834728132033,271.80244780769806,30.200271978633133,200.78789776097383,8.5,0.9925926984156273
W044,Henan,Delta,2021-07-31,2021-08-14,15,32.0,167.0,3.076410528007161,3.1910796337683895,-13.76430045084808,-17.21536347565276,-3.4510630248046823,8263.583076544895,1.5023918164195573,0.00010000791577507568,0.19390431326892793,0.002023948862185684,0.9669967534616497,0.10895624174362922,16.725069565349916,222.44038617349685,24.715598463721882,210.44100862486846,0.25,0.9300690414733528
W045,Hubei,Delta,2021-07-31,2021-08-16,17,15.0,90.0,6.873632851038635,7.20484409526728,-5.3938498312564835,-8.593815805203622,-3.1999659739471387,290.342257166251,7.999939065442451,0.4048884084701999,5.013491026290362,0.0034818837578358547,0.9689644281291068,2.5682215220881277,1.0109379894405701,251.9092745297468,27.98991939219408,207.89130475504228,9.0,0.9960029371303811
W046,Yunnan,Delta,2021-07-31,2021-08-13,14,13.0,54.0,8.949496688143938,9.284293830745968,3.735559511800866,0.24973530430186308,-3.485824207499003,54.540000133590965,2.511936452294493,0.001007767104064657,1.7003107437974716,0.002466224251541875,0.5574897724258674,0.5049279177913586,0.13450787100855913,27.33781355362052,3.0375348392911676,8.223132379693629,4.5,0.9951038767374396
W047,Fujian,Delta,2021-09-10,2021-09-29,20,61.0,482.0,2.9782164979882393,3.7634270685965254,-28.08815285623291,-27.408045537211365,0.6801073190215448,1354.4762359368792,7.9999999999895355,0.4911425398445364,16.104044094725026,0.0019092290920673688,0.9803717446428469,7.9703440661580505,2.586005434164595,1195.101207434162,132.78902304824018,965.3137470023964,7.0,0.9978408340613663
W048,Heilongjiang,Delta,2021-09-21,2021-10-03,13,15.0,88.0,2.136649917668112,2.303891258418279,-13.474232782944696,-16.49454756391395,-3.0203147809692545,219.19324653425025,7.999967902030095,0.604952583305751,3.480646480427818,0.0061559470624561905,0.8843516284241368,1.7852945859987706,1.3493420221127534,173.95234981330773,19.328038868145285,118.75866365421295,5.5,0.9923027438641502
W049,Inner Mongolia,Delta,2021-10-13,2021-11-12,31,36.0,189.0,8.791446447877757,18.271451714204535,-29.066446457854504,-10.38806872873732,18.678377729117184,190.89000000000306,3.4641221716800397,0.0002278487878259912,1.892247949901783,0.0019092307605288513,0.9561818164394299,0.9377355839874448,0.36445305987735827,164.2529072164182,18.250323024046466,43.464857219901134,14.5,0.9977860593787713
W050,Gansu,Delta,2021-10-18,2021-11-08,22,17.0,145.0,3.945472195223877,4.058044508087459,-27.806423855562855,-31.187507368633028,-3.3810835130701733,2089.1105166483353,0.8956547127792701,0.13249348967561483,126.91475373870892,0.9263011565223931,0.06986946253473807,8.581962797186964,1935.1454876744472,131.36852607649934,14.596502897388813,2030.8196579951705,11.0,0.06357011140611027
W051,Heilongjiang,Delta,2021-10-27,2021-11-15,20,45.0,279.0,3.009322477408456,3.009315624540893,-27.880346213837285,-31.880391758144462,-4.000045544307177,281.79001926421745,3.900718451469618,0.16829571086142323,20.28880382421868,0.9976061222585164,0.0,19.456903041964253,281.1154484093286,0.00025361101734068905,2.817900192674321e-05,273.7897374741982,7.25,9.021588460449342e-07
W052,Hebei,Delta,2021-10-31,2021-11-14,15,23.0,131.0,1.2417465746110852,1.4758251791900032,-27.37296926927057,-28.782493863329492,-1.4095245940589223,312.28934880405495,4.393574511308596,0.4784118908343603,2.0022724381360573,0.0019601289316420927,0.7931017255789431,0.8370627254471386,0.612127387634497,220.40616628306498,24.489574031451664,140.00051539277175,4.75,0.9972304220683934
